lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.809665,-117.805330,41.000000,34.087454,34.089286,21.000000,0,-15,31
lon,lat,depth,data
-117.809665,34.087454,0.500000,4.321880
-117.809665,34.087454,1.000000,5.933998
-117.809665,34.087454,1.500000,3.927058
-117.809665,34.087454,2.000000,5.319207
-117.809665,34.087454,2.500000,5.660337
-117.809665,34.087454,3.000000,4.171804
-117.809665,34.087454,3.500000,4.961968
-117.809665,34.087454,4.000000,6.098431
-117.809665,34.087454,4.500000,3.996727
-117.809665,34.087454,5.000000,4.048404
-117.809665,34.087454,5.500000,3.604012
-117.809665,34.087454,6.000000,5.495557
-117.809665,34.087454,6.500000,4.180843
-117.809665,34.087454,7.000000,3.815024
-117.809665,34.087454,7.500000,4.794282
-117.809665,34.087454,8.000000,2.984322
-117.809665,34.087454,8.500000,5.154099
-117.809665,34.087454,9.000000,3.410644
-117.809665,34.087454,9.500000,4.461169
-117.809665,34.087454,10.000000,3.829975
-117.809665,34.087454,10.500000,5.293227
-117.809665,34.087454,11.000000,3.390921
-117.809665,34.087454,11.500000,6.580827
-117.809665,34.087454,12.000000,5.465965
-117.809665,34.087454,12.500000,5.348661
-117.809665,34.087454,13.000000,6.191229
-117.809665,34.087454,13.500000,5.484404
-117.809665,34.087454,14.000000,3.898166
-117.809665,34.087454,14.500000,3.865301
-117.809665,34.087454,15.000000,5.142836
-117.809665,34.087546,0.000000,5.104331
-117.809665,34.087546,0.500000,5.138318
-117.809665,34.087546,1.000000,3.830068
-117.809665,34.087546,1.500000,5.626626
-117.809665,34.087546,2.000000,5.323981
-117.809665,34.087546,2.500000,2.722264
-117.809665,34.087546,3.000000,4.983474
-117.809665,34.087546,3.500000,5.419330
-117.809665,34.087546,4.000000,6.642660
-117.809665,34.087546,4.500000,6.252224
-117.809665,34.087546,5.000000,4.669115
-117.809665,34.087546,5.500000,5.974460
-117.809665,34.087546,6.000000,6.505549
-117.809665,34.087546,6.500000,4.543245
-117.809665,34.087546,7.000000,4.539520
-117.809665,34.087546,7.500000,3.748483
-117.809665,34.087546,8.000000,3.611109
-117.809665,34.087546,8.500000,5.293830
-117.809665,34.087546,9.000000,4.426439
-117.809665,34.087546,9.500000,5.829547
-117.809665,34.087546,10.000000,5.055281
-117.809665,34.087546,10.500000,3.433107
-117.809665,34.087546,11.000000,5.161919
-117.809665,34.087546,11.500000,3.602156
-117.809665,34.087546,12.000000,5.055666
-117.809665,34.087546,12.500000,4.889711
-117.809665,34.087546,13.000000,5.377515
-117.809665,34.087546,13.500000,4.830965
-117.809665,34.087546,14.000000,2.868344
-117.809665,34.087546,14.500000,4.434909
-117.809665,34.087546,15.000000,5.466395
-117.809665,34.087637,0.000000,3.831734
-117.809665,34.087637,0.500000,4.360409
-117.809665,34.087637,1.000000,5.176083
-117.809665,34.087637,1.500000,6.386443
-117.809665,34.087637,2.000000,6.124927
-117.809665,34.087637,2.500000,4.190393
-117.809665,34.087637,3.000000,6.606921
-117.809665,34.087637,3.500000,4.954694
-117.809665,34.087637,4.000000,6.461073
-117.809665,34.087637,4.500000,3.961548
-117.809665,34.087637,5.000000,6.786501
-117.809665,34.087637,5.500000,5.598129
-117.809665,34.087637,6.000000,4.553895
-117.809665,34.087637,6.500000,5.569374
-117.809665,34.087637,7.000000,3.906677
-117.809665,34.087637,7.500000,3.107145
-117.809665,34.087637,8.000000,4.747775
-117.809665,34.087637,8.500000,4.473258
-117.809665,34.087637,9.000000,7.252236
-117.809665,34.087637,9.500000,5.427748
-117.809665,34.087637,10.000000,4.751481
-117.809665,34.087637,10.500000,5.354471
-117.809665,34.087637,11.000000,5.648955
-117.809665,34.087637,11.500000,4.245196
-117.809665,34.087637,12.000000,5.581699
-117.809665,34.087637,12.500000,5.823785
-117.809665,34.087637,13.000000,4.144318
-117.809665,34.087637,13.500000,5.682685
-117.809665,34.087637,14.000000,5.100986
-117.809665,34.087637,14.500000,6.905519
-117.809665,34.087637,15.000000,6.804693
-117.809665,34.087729,0.000000,6.492761
-117.809665,34.087729,0.500000,6.276420
-117.809665,34.087729,1.000000,5.411347
-117.809665,34.087729,1.500000,6.827436
-117.809665,34.087729,2.000000,4.812717
-117.809665,34.087729,2.500000,5.181347
-117.809665,34.087729,3.000000,5.668402
-117.809665,34.087729,3.500000,5.264884
-117.809665,34.087729,4.000000,3.791444
-117.809665,34.087729,4.500000,4.458617
-117.809665,34.087729,5.000000,3.637752
-117.809665,34.087729,5.500000,4.953096
-117.809665,34.087729,6.000000,3.371024
-117.809665,34.087729,6.500000,5.818791
-117.809665,34.087729,7.000000,4.474564
-117.809665,34.087729,7.500000,5.214433
-117.809665,34.087729,8.000000,3.342060
-117.809665,34.087729,8.500000,4.539886
-117.809665,34.087729,9.000000,5.198331
-117.809665,34.087729,9.500000,5.088506
-117.809665,34.087729,10.000000,4.990006
-117.809665,34.087729,10.500000,7.099606
-117.809665,34.087729,11.000000,2.975271
-117.809665,34.087729,11.500000,4.051698
-117.809665,34.087729,12.000000,4.811863
-117.809665,34.087729,12.500000,5.008298
-117.809665,34.087729,13.000000,6.537659
-117.809665,34.087729,13.500000,6.224091
-117.809665,34.087729,14.000000,5.336852
-117.809665,34.087729,14.500000,5.881130
-117.809665,34.087729,15.000000,6.674189
-117.809665,34.087820,0.000000,7.159868
-117.809665,34.087820,0.500000,4.642411
-117.809665,34.087820,1.000000,4.704481
-117.809665,34.087820,1.500000,5.638051
-117.809665,34.087820,2.000000,6.598697
-117.809665,34.087820,2.500000,5.929734
-117.809665,34.087820,3.000000,5.801515
-117.809665,34.087820,3.500000,5.406441
-117.809665,34.087820,4.000000,3.925397
-117.809665,34.087820,4.500000,5.221706
-117.809665,34.087820,5.000000,2.346585
-117.809665,34.087820,5.500000,7.705829
-117.809665,34.087820,6.000000,6.351929
-117.809665,34.087820,6.500000,4.185444
-117.809665,34.087820,7.000000,7.560228
-117.809665,34.087820,7.500000,5.646143
-117.809665,34.087820,8.000000,4.822457
-117.809665,34.087820,8.500000,5.988948
-117.809665,34.087820,9.000000,4.424091
-117.809665,34.087820,9.500000,4.734643
-117.809665,34.087820,10.000000,4.365688
-117.809665,34.087820,10.500000,6.983657
-117.809665,34.087820,11.000000,5.525270
-117.809665,34.087820,11.500000,4.202853
-117.809665,34.087820,12.000000,4.095485
-117.809665,34.087820,12.500000,6.143224
-117.809665,34.087820,13.000000,5.052338
-117.809665,34.087820,13.500000,4.826178
-117.809665,34.087820,14.000000,5.336321
-117.809665,34.087820,14.500000,4.959727
-117.809665,34.087820,15.000000,6.360206
-117.809665,34.087912,0.000000,5.504101
-117.809665,34.087912,0.500000,6.231858
-117.809665,34.087912,1.000000,6.221599
-117.809665,34.087912,1.500000,5.913974
-117.809665,34.087912,2.000000,4.165421
-117.809665,34.087912,2.500000,5.574571
-117.809665,34.087912,3.000000,6.230908
-117.809665,34.087912,3.500000,5.858451
-117.809665,34.087912,4.000000,4.519802
-117.809665,34.087912,4.500000,4.228739
-117.809665,34.087912,5.000000,6.751171
-117.809665,34.087912,5.500000,4.717527
-117.809665,34.087912,6.000000,4.224643
-117.809665,34.087912,6.500000,4.531503
-117.809665,34.087912,7.000000,4.408415
-117.809665,34.087912,7.500000,4.724948
-117.809665,34.087912,8.000000,3.530114
-117.809665,34.087912,8.500000,4.252392
-117.809665,34.087912,9.000000,5.147073
-117.809665,34.087912,9.500000,5.415074
-117.809665,34.087912,10.000000,5.352446
-117.809665,34.087912,10.500000,3.958916
-117.809665,34.087912,11.000000,7.346891
-117.809665,34.087912,11.500000,4.650327
-117.809665,34.087912,12.000000,3.980947
-117.809665,34.087912,12.500000,5.577723
-117.809665,34.087912,13.000000,3.909304
-117.809665,34.087912,13.500000,5.311855
-117.809665,34.087912,14.000000,4.863750
-117.809665,34.087912,14.500000,7.175971
-117.809665,34.087912,15.000000,4.462830
-117.809665,34.088004,0.000000,4.719349
-117.809665,34.088004,0.500000,5.474567
-117.809665,34.088004,1.000000,6.354607
-117.809665,34.088004,1.500000,6.133308
-117.809665,34.088004,2.000000,5.506826
-117.809665,34.088004,2.500000,5.430737
-117.809665,34.088004,3.000000,6.537156
-117.809665,34.088004,3.500000,6.502885
-117.809665,34.088004,4.000000,4.030308
-117.809665,34.088004,4.500000,4.994948
-117.809665,34.088004,5.000000,4.168726
-117.809665,34.088004,5.500000,6.757283
-117.809665,34.088004,6.000000,5.742739
-117.809665,34.088004,6.500000,6.483585
-117.809665,34.088004,7.000000,4.439852
-117.809665,34.088004,7.500000,5.875294
-117.809665,34.088004,8.000000,4.169421
-117.809665,34.088004,8.500000,6.059378
-117.809665,34.088004,9.000000,3.589430
-117.809665,34.088004,9.500000,5.342148
-117.809665,34.088004,10.000000,5.087533
-117.809665,34.088004,10.500000,4.657996
-117.809665,34.088004,11.000000,4.340688
-117.809665,34.088004,11.500000,5.616084
-117.809665,34.088004,12.000000,3.165952
-117.809665,34.088004,12.500000,4.943115
-117.809665,34.088004,13.000000,5.102116
-117.809665,34.088004,13.500000,3.965964
-117.809665,34.088004,14.000000,6.289382
-117.809665,34.088004,14.500000,5.089481
-117.809665,34.088004,15.000000,4.614859
-117.809665,34.088095,0.000000,4.834374
-117.809665,34.088095,0.500000,4.839459
-117.809665,34.088095,1.000000,5.594791
-117.809665,34.088095,1.500000,5.984847
-117.809665,34.088095,2.000000,6.528224
-117.809665,34.088095,2.500000,4.333082
-117.809665,34.088095,3.000000,5.436522
-117.809665,34.088095,3.500000,5.073205
-117.809665,34.088095,4.000000,6.062276
-117.809665,34.088095,4.500000,5.482431
-117.809665,34.088095,5.000000,4.114927
-117.809665,34.088095,5.500000,3.494147
-117.809665,34.088095,6.000000,6.472768
-117.809665,34.088095,6.500000,5.040004
-117.809665,34.088095,7.000000,6.042613
-117.809665,34.088095,7.500000,4.697991
-117.809665,34.088095,8.000000,3.804203
-117.809665,34.088095,8.500000,6.002002
-117.809665,34.088095,9.000000,6.429067
-117.809665,34.088095,9.500000,5.517383
-117.809665,34.088095,10.000000,5.954308
-117.809665,34.088095,10.500000,4.859747
-117.809665,34.088095,11.000000,3.901004
-117.809665,34.088095,11.500000,5.640018
-117.809665,34.088095,12.000000,5.415997
-117.809665,34.088095,12.500000,5.894208
-117.809665,34.088095,13.000000,5.574304
-117.809665,34.088095,13.500000,5.526084
-117.809665,34.088095,14.000000,5.215702
-117.809665,34.088095,14.500000,4.779108
-117.809665,34.088095,15.000000,5.025747
-117.809665,34.088187,0.000000,4.404880
-117.809665,34.088187,0.500000,4.963341
-117.809665,34.088187,1.000000,5.409643
-117.809665,34.088187,1.500000,3.876201
-117.809665,34.088187,2.000000,2.968573
-117.809665,34.088187,2.500000,4.124267
-117.809665,34.088187,3.000000,5.404623
-117.809665,34.088187,3.500000,5.700193
-117.809665,34.088187,4.000000,3.327829
-117.809665,34.088187,4.500000,6.550817
-117.809665,34.088187,5.000000,4.740564
-117.809665,34.088187,5.500000,5.373291
-117.809665,34.088187,6.000000,4.601342
-117.809665,34.088187,6.500000,5.867190
-117.809665,34.088187,7.000000,4.408244
-117.809665,34.088187,7.500000,5.198412
-117.809665,34.088187,8.000000,3.569005
-117.809665,34.088187,8.500000,4.476237
-117.809665,34.088187,9.000000,5.845616
-117.809665,34.088187,9.500000,4.306262
-117.809665,34.088187,10.000000,5.987553
-117.809665,34.088187,10.500000,5.193221
-117.809665,34.088187,11.000000,5.681290
-117.809665,34.088187,11.500000,4.995819
-117.809665,34.088187,12.000000,4.584443
-117.809665,34.088187,12.500000,4.143069
-117.809665,34.088187,13.000000,4.659002
-117.809665,34.088187,13.500000,5.169334
-117.809665,34.088187,14.000000,6.199912
-117.809665,34.088187,14.500000,3.944328
-117.809665,34.088187,15.000000,5.936111
-117.809665,34.088278,0.000000,5.421875
-117.809665,34.088278,0.500000,7.009396
-117.809665,34.088278,1.000000,5.380098
-117.809665,34.088278,1.500000,4.393956
-117.809665,34.088278,2.000000,5.758655
-117.809665,34.088278,2.500000,4.470378
-117.809665,34.088278,3.000000,3.735012
-117.809665,34.088278,3.500000,4.242090
-117.809665,34.088278,4.000000,4.934585
