lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.807466,-117.802114,50.000000,34.084769,34.090205,61.000000,0,-15,31
lon,lat,depth,data
-117.807466,34.084769,0.500000,5.824005
-117.807466,34.084769,1.000000,3.810531
-117.807466,34.084769,1.500000,4.291187
-117.807466,34.084769,2.000000,6.263622
-117.807466,34.084769,2.500000,4.359730
-117.807466,34.084769,3.000000,6.075687
-117.807466,34.084769,3.500000,3.343965
-117.807466,34.084769,4.000000,3.840797
-117.807466,34.084769,4.500000,6.932892
-117.807466,34.084769,5.000000,5.582109
-117.807466,34.084769,5.500000,8.267007
-117.807466,34.084769,6.000000,4.616104
-117.807466,34.084769,6.500000,4.185675
-117.807466,34.084769,7.000000,4.657477
-117.807466,34.084769,7.500000,5.005080
-117.807466,34.084769,8.000000,4.880163
-117.807466,34.084769,8.500000,5.431821
-117.807466,34.084769,9.000000,5.863568
-117.807466,34.084769,9.500000,4.320760
-117.807466,34.084769,10.000000,5.331491
-117.807466,34.084769,10.500000,3.565096
-117.807466,34.084769,11.000000,3.632640
-117.807466,34.084769,11.500000,2.481643
-117.807466,34.084769,12.000000,5.927154
-117.807466,34.084769,12.500000,3.952421
-117.807466,34.084769,13.000000,5.003411
-117.807466,34.084769,13.500000,5.809384
-117.807466,34.084769,14.000000,5.568430
-117.807466,34.084769,14.500000,6.117508
-117.807466,34.084769,15.000000,4.934574
-117.807466,34.084860,0.000000,5.099015
-117.807466,34.084860,0.500000,4.128736
-117.807466,34.084860,1.000000,4.450067
-117.807466,34.084860,1.500000,3.608172
-117.807466,34.084860,2.000000,4.259507
-117.807466,34.084860,2.500000,5.336416
-117.807466,34.084860,3.000000,4.509972
-117.807466,34.084860,3.500000,7.666193
-117.807466,34.084860,4.000000,4.760463
-117.807466,34.084860,4.500000,5.708180
-117.807466,34.084860,5.000000,6.674828
-117.807466,34.084860,5.500000,7.511397
-117.807466,34.084860,6.000000,6.646494
-117.807466,34.084860,6.500000,4.587673
-117.807466,34.084860,7.000000,5.843124
-117.807466,34.084860,7.500000,5.850524
-117.807466,34.084860,8.000000,4.708025
-117.807466,34.084860,8.500000,5.590975
-117.807466,34.084860,9.000000,2.995236
-117.807466,34.084860,9.500000,4.809086
-117.807466,34.084860,10.000000,4.841164
-117.807466,34.084860,10.500000,2.773236
-117.807466,34.084860,11.000000,4.335859
-117.807466,34.084860,11.500000,5.705861
-117.807466,34.084860,12.000000,4.333397
-117.807466,34.084860,12.500000,5.139736
-117.807466,34.084860,13.000000,4.748538
-117.807466,34.084860,13.500000,4.706041
-117.807466,34.084860,14.000000,4.564482
-117.807466,34.084860,14.500000,5.778674
-117.807466,34.084860,15.000000,5.510291
-117.807466,34.084950,0.000000,6.033013
-117.807466,34.084950,0.500000,3.995949
-117.807466,34.084950,1.000000,5.241282
-117.807466,34.084950,1.500000,2.213768
-117.807466,34.084950,2.000000,3.443696
-117.807466,34.084950,2.500000,5.014106
-117.807466,34.084950,3.000000,5.387755
-117.807466,34.084950,3.500000,4.838629
-117.807466,34.084950,4.000000,4.181551
-117.807466,34.084950,4.500000,7.505624
-117.807466,34.084950,5.000000,8.745626
-117.807466,34.084950,5.500000,7.579678
-117.807466,34.084950,6.000000,5.293294
-117.807466,34.084950,6.500000,4.445603
-117.807466,34.084950,7.000000,6.111231
-117.807466,34.084950,7.500000,4.209096
-117.807466,34.084950,8.000000,3.974544
-117.807466,34.084950,8.500000,4.553445
-117.807466,34.084950,9.000000,4.975859
-117.807466,34.084950,9.500000,5.006933
-117.807466,34.084950,10.000000,5.415507
-117.807466,34.084950,10.500000,5.762020
-117.807466,34.084950,11.000000,4.475515
-117.807466,34.084950,11.500000,3.272781
-117.807466,34.084950,12.000000,4.744636
-117.807466,34.084950,12.500000,5.471464
-117.807466,34.084950,13.000000,7.129634
-117.807466,34.084950,13.500000,7.874241
-117.807466,34.084950,14.000000,5.328196
-117.807466,34.084950,14.500000,4.804979
-117.807466,34.084950,15.000000,4.249382
-117.807466,34.085041,0.000000,5.396823
-117.807466,34.085041,0.500000,4.661836
-117.807466,34.085041,1.000000,5.091757
-117.807466,34.085041,1.500000,4.357699
-117.807466,34.085041,2.000000,4.211747
-117.807466,34.085041,2.500000,4.403255
-117.807466,34.085041,3.000000,6.253440
-117.807466,34.085041,3.500000,4.010268
-117.807466,34.085041,4.000000,5.880888
-117.807466,34.085041,4.500000,6.530342
-117.807466,34.085041,5.000000,8.275874
