lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.807466,-117.802114,50.000000,34.084769,34.090205,61.000000,0,-15,31
lon,lat,depth,data
-117.807466,34.084769,0.500000,4.618974
-117.807466,34.084769,1.000000,5.743101
-117.807466,34.084769,1.500000,4.484794
-117.807466,34.084769,2.000000,4.967277
-117.807466,34.084769,2.500000,6.163392
-117.807466,34.084769,3.000000,5.108408
-117.807466,34.084769,3.500000,3.684950
-117.807466,34.084769,4.000000,4.178477
-117.807466,34.084769,4.500000,5.320491
-117.807466,34.084769,5.000000,4.774355
-117.807466,34.084769,5.500000,4.484099
-117.807466,34.084769,6.000000,4.369964
-117.807466,34.084769,6.500000,5.557262
-117.807466,34.084769,7.000000,3.478905
-117.807466,34.084769,7.500000,5.062355
-117.807466,34.084769,8.000000,5.649444
-117.807466,34.084769,8.500000,5.983109
-117.807466,34.084769,9.000000,4.849520
-117.807466,34.084769,9.500000,5.492976
-117.807466,34.084769,10.000000,5.092938
-117.807466,34.084769,10.500000,3.627634
-117.807466,34.084769,11.000000,5.153216
-117.807466,34.084769,11.500000,4.474266
-117.807466,34.084769,12.000000,5.599117
-117.807466,34.084769,12.500000,3.647515
-117.807466,34.084769,13.000000,5.911972
-117.807466,34.084769,13.500000,4.753345
-117.807466,34.084769,14.000000,5.760476
-117.807466,34.084769,14.500000,5.308017
-117.807466,34.084769,15.000000,4.370754
-117.807466,34.084860,0.000000,3.456967
-117.807466,34.084860,0.500000,2.682732
-117.807466,34.084860,1.000000,3.748267
-117.807466,34.084860,1.500000,5.511710
-117.807466,34.084860,2.000000,6.440864
-117.807466,34.084860,2.500000,5.663767
-117.807466,34.084860,3.000000,4.568963
-117.807466,34.084860,3.500000,3.715524
-117.807466,34.084860,4.000000,5.543648
-117.807466,34.084860,4.500000,5.929834
-117.807466,34.084860,5.000000,4.296362
-117.807466,34.084860,5.500000,6.677498
-117.807466,34.084860,6.000000,4.070386
-117.807466,34.084860,6.500000,6.015988
-117.807466,34.084860,7.000000,4.834332
-117.807466,34.084860,7.500000,4.823518
-117.807466,34.084860,8.000000,5.752827
-117.807466,34.084860,8.500000,3.807928
-117.807466,34.084860,9.000000,4.083502
-117.807466,34.084860,9.500000,6.017547
-117.807466,34.084860,10.000000,5.450158
-117.807466,34.084860,10.500000,4.474685
-117.807466,34.084860,11.000000,5.691815
-117.807466,34.084860,11.500000,6.453881
-117.807466,34.084860,12.000000,4.920548
-117.807466,34.084860,12.500000,5.247220
-117.807466,34.084860,13.000000,4.562078
-117.807466,34.084860,13.500000,5.695991
-117.807466,34.084860,14.000000,5.525480
-117.807466,34.084860,14.500000,6.718934
-117.807466,34.084860,15.000000,5.756605
-117.807466,34.084950,0.000000,6.997803
-117.807466,34.084950,0.500000,5.764089
-117.807466,34.084950,1.000000,5.208472
-117.807466,34.084950,1.500000,3.862401
-117.807466,34.084950,2.000000,4.377967
-117.807466,34.084950,2.500000,3.724070
-117.807466,34.084950,3.000000,5.201060
-117.807466,34.084950,3.500000,4.670217
-117.807466,34.084950,4.000000,5.650409
-117.807466,34.084950,4.500000,5.022149
-117.807466,34.084950,5.000000,4.308105
-117.807466,34.084950,5.500000,3.962858
-117.807466,34.084950,6.000000,4.795870
-117.807466,34.084950,6.500000,5.640265
-117.807466,34.084950,7.000000,6.045797
-117.807466,34.084950,7.500000,4.059367
-117.807466,34.084950,8.000000,4.305739
-117.807466,34.084950,8.500000,4.427220
-117.807466,34.084950,9.000000,4.494667
-117.807466,34.084950,9.500000,4.046143
-117.807466,34.084950,10.000000,5.877902
-117.807466,34.084950,10.500000,4.780226
-117.807466,34.084950,11.000000,5.983167
-117.807466,34.084950,11.500000,4.552858
-117.807466,34.084950,12.000000,5.751954
-117.807466,34.084950,12.500000,6.221741
-117.807466,34.084950,13.000000,4.438416
-117.807466,34.084950,13.500000,5.036056
-117.807466,34.084950,14.000000,5.087101
-117.807466,34.084950,14.500000,3.908349
-117.807466,34.084950,15.000000,3.442918
-117.807466,34.085041,0.000000,6.077644
-117.807466,34.085041,0.500000,4.960120
-117.807466,34.085041,1.000000,5.276340
-117.807466,34.085041,1.500000,4.576821
-117.807466,34.085041,2.000000,4.143480
-117.807466,34.085041,2.500000,5.131184
-117.807466,34.085041,3.000000,3.151419
-117.807466,34.085041,3.500000,4.576680
-117.807466,34.085041,4.000000,4.798847
-117.807466,34.085041,4.500000,3.473884
-117.807466,34.085041,5.000000,5.556101
-117.807466,34.085041,5.500000,4.128520
-117.807466,34.085041,6.000000,5.824383
-117.807466,34.085041,6.500000,3.825382
-117.807466,34.085041,7.000000,4.055555
-117.807466,34.085041,7.500000,4.555590
-117.807466,34.085041,8.000000,3.422675
-117.807466,34.085041,8.500000,4.559608
-117.807466,34.085041,9.000000,3.217485
-117.807466,34.085041,9.500000,5.104278
-117.807466,34.085041,10.000000,5.422280
-117.807466,34.085041,10.500000,6.707276
-117.807466,34.085041,11.000000,7.568746
-117.807466,34.085041,11.500000,4.233293
-117.807466,34.085041,12.000000,5.889517
-117.807466,34.085041,12.500000,3.871859
-117.807466,34.085041,13.000000,4.078153
-117.807466,34.085041,13.500000,4.809447
-117.807466,34.085041,14.000000,3.135784
-117.807466,34.085041,14.500000,5.047485
-117.807466,34.085041,15.000000,6.171292
-117.807466,34.085131,0.000000,4.758707
-117.807466,34.085131,0.500000,5.544071
-117.807466,34.085131,1.000000,4.673689
-117.807466,34.085131,1.500000,5.695250
-117.807466,34.085131,2.000000,5.260326
-117.807466,34.085131,2.500000,5.857116
-117.807466,34.085131,3.000000,3.877383
-117.807466,34.085131,3.500000,3.994559
-117.807466,34.085131,4.000000,4.405298
-117.807466,34.085131,4.500000,5.131490
-117.807466,34.085131,5.000000,5.158644
-117.807466,34.085131,5.500000,5.706882
-117.807466,34.085131,6.000000,5.973410
-117.807466,34.085131,6.500000,5.017959
-117.807466,34.085131,7.000000,5.041458
-117.807466,34.085131,7.500000,3.861568
-117.807466,34.085131,8.000000,4.323390
-117.807466,34.085131,8.500000,6.458654
-117.807466,34.085131,9.000000,5.810941
-117.807466,34.085131,9.500000,5.544435
-117.807466,34.085131,10.000000,3.832118
-117.807466,34.085131,10.500000,5.738808
-117.807466,34.085131,11.000000,6.415705
-117.807466,34.085131,11.500000,5.598506
-117.807466,34.085131,12.000000,4.630035
-117.807466,34.085131,12.500000,5.680578
-117.807466,34.085131,13.000000,5.771445
-117.807466,34.085131,13.500000,4.880770
-117.807466,34.085131,14.000000,4.670015
-117.807466,34.085131,14.500000,5.989089
-117.807466,34.085131,15.000000,5.230431
-117.807466,34.085222,0.000000,4.801761
-117.807466,34.085222,0.500000,5.526784
-117.807466,34.085222,1.000000,4.493651
-117.807466,34.085222,1.500000,5.692863
-117.807466,34.085222,2.000000,5.349139
-117.807466,34.085222,2.500000,5.131796
-117.807466,34.085222,3.000000,5.365632
-117.807466,34.085222,3.500000,4.307503
-117.807466,34.085222,4.000000,5.033830
-117.807466,34.085222,4.500000,2.772173
-117.807466,34.085222,5.000000,4.741142
-117.807466,34.085222,5.500000,4.181936
-117.807466,34.085222,6.000000,5.451057
-117.807466,34.085222,6.500000,5.075671
-117.807466,34.085222,7.000000,5.648716
-117.807466,34.085222,7.500000,3.481195
-117.807466,34.085222,8.000000,3.819520
-117.807466,34.085222,8.500000,5.599193
-117.807466,34.085222,9.000000,4.484067
-117.807466,34.085222,9.500000,4.762252
-117.807466,34.085222,10.000000,3.579086
-117.807466,34.085222,10.500000,5.057576
-117.807466,34.085222,11.000000,7.117419
-117.807466,34.085222,11.500000,5.139472
-117.807466,34.085222,12.000000,3.145241
-117.807466,34.085222,12.500000,5.391661
-117.807466,34.085222,13.000000,4.791695
-117.807466,34.085222,13.500000,3.014015
-117.807466,34.085222,14.000000,5.377803
-117.807466,34.085222,14.500000,5.770109
-117.807466,34.085222,15.000000,5.194419
-117.807466,34.085313,0.000000,8.821561
-117.807466,34.085313,0.500000,4.042992
-117.807466,34.085313,1.000000,4.216450
-117.807466,34.085313,1.500000,5.763443
-117.807466,34.085313,2.000000,6.440655
-117.807466,34.085313,2.500000,5.219230
-117.807466,34.085313,3.000000,6.757454
-117.807466,34.085313,3.500000,4.319108
-117.807466,34.085313,4.000000,4.246888
-117.807466,34.085313,4.500000,5.889892
-117.807466,34.085313,5.000000,6.419616
-117.807466,34.085313,5.500000,5.287670
-117.807466,34.085313,6.000000,5.051732
-117.807466,34.085313,6.500000,4.982154
-117.807466,34.085313,7.000000,6.972253
-117.807466,34.085313,7.500000,4.589474
-117.807466,34.085313,8.000000,3.858042
-117.807466,34.085313,8.500000,4.197645
-117.807466,34.085313,9.000000,5.258356
-117.807466,34.085313,9.500000,4.327168
-117.807466,34.085313,10.000000,5.723267
-117.807466,34.085313,10.500000,4.638971
-117.807466,34.085313,11.000000,4.204055
-117.807466,34.085313,11.500000,5.025189
-117.807466,34.085313,12.000000,6.858468
-117.807466,34.085313,12.500000,4.209195
-117.807466,34.085313,13.000000,5.413083
-117.807466,34.085313,13.500000,4.600691
-117.807466,34.085313,14.000000,6.588868
-117.807466,34.085313,14.500000,3.905887
-117.807466,34.085313,15.000000,6.111986
-117.807466,34.085403,0.000000,3.607280
-117.807466,34.085403,0.500000,3.660882
-117.807466,34.085403,1.000000,5.253041
-117.807466,34.085403,1.500000,5.563866
-117.807466,34.085403,2.000000,5.580511
-117.807466,34.085403,2.500000,5.161099
-117.807466,34.085403,3.000000,5.444981
-117.807466,34.085403,3.500000,4.996690
-117.807466,34.085403,4.000000,3.656364
-117.807466,34.085403,4.500000,4.839811
-117.807466,34.085403,5.000000,6.379459
-117.807466,34.085403,5.500000,4.981855
-117.807466,34.085403,6.000000,5.546422
-117.807466,34.085403,6.500000,4.868613
-117.807466,34.085403,7.000000,2.935971
-117.807466,34.085403,7.500000,7.252756
-117.807466,34.085403,8.000000,6.101316
-117.807466,34.085403,8.500000,4.330020
-117.807466,34.085403,9.000000,4.352226
-117.807466,34.085403,9.500000,4.712611
-117.807466,34.085403,10.000000,3.690847
-117.807466,34.085403,10.500000,5.917154
-117.807466,34.085403,11.000000,4.746389
-117.807466,34.085403,11.500000,4.226494
-117.807466,34.085403,12.000000,7.147466
-117.807466,34.085403,12.500000,4.059020
-117.807466,34.085403,13.000000,3.870553
-117.807466,34.085403,13.500000,4.393963
-117.807466,34.085403,14.000000,4.167694
-117.807466,34.085403,14.500000,4.843441
-117.807466,34.085403,15.000000,4.737646
-117.807466,34.085494,0.000000,5.963114
-117.807466,34.085494,0.500000,5.314429
-117.807466,34.085494,1.000000,5.161715
-117.807466,34.085494,1.500000,4.877422
-117.807466,34.085494,2.000000,4.800719
-117.807466,34.085494,2.500000,5.964801
-117.807466,34.085494,3.000000,6.526719
-117.807466,34.085494,3.500000,6.277072
-117.807466,34.085494,4.000000,3.898930
-117.807466,34.085494,4.500000,4.780955
-117.807466,34.085494,5.000000,3.675328
