lon_min,lon_max,lon_res,lat_min,lat_max,lat_res
-117.807525,-117.802054,51,34.084764,34.09021,61
lon,lat,data
-117.807525,34.084764,25.1014999734
-117.80741558,34.084764,23.6048918085
-117.80730616,34.084764,21.6998546354
-117.80719674,34.084764,20.019623659
-117.80708732,34.084764,19.2360298511
-117.8069779,34.084764,19.6816384725
-117.80686848,34.084764,21.149446079
-117.80675906,34.084764,23.0056955048
-117.80664964,34.084764,24.5218272856
-117.80654022,34.084764,25.2003354738
-117.8064308,34.084764,24.9406697622
-117.80632138,34.084764,23.9857082374
-117.80621196,34.084764,22.7271889095
-117.80610254,34.084764,21.4824120838
-117.80599312,34.084764,20.3547551305
-117.8058837,34.084764,19.2361772172
-117.80577428,34.084764,17.9370524001
-117.80566486,34.084764,16.3976965336
-117.80555544,34.084764,14.8696467942
-117.80544602,34.084764,13.8944860429
-117.8053366,34.084764,14.0197441331
-117.80522718,34.084764,15.3852897917
-117.80511776,34.084764,17.5509167706
-117.80500834,34.084764,19.7613161785
-117.80489892,34.084764,21.4843159361
-117.8047895,34.084764,22.7843879266
-117.80468008,34.084764,24.1927713958
-117.80457066,34.084764,26.1629818934
-117.80446124,34.084764,28.5460666903
-117.80435182,34.084764,30.4957849755
-117.8042424,34.084764,30.9605298596
-117.80413298,34.084764,29.402662648
-117.80402356,34.084764,26.2487145338
-117.80391414,34.084764,22.6871510358
-117.80380472,34.084764,20.007206393
-117.8036953,34.084764,18.9757051828
-117.80358588,34.084764,19.6509711818
-117.80347646,34.084764,21.5774594896
-117.80336704,34.084764,24.0880334189
-117.80325762,34.084764,26.5056549427
-117.8031482,34.084764,28.3143235449
-117.80303878,34.084764,29.2766098289
-117.80292936,34.084764,29.4632992986
-117.80281994,34.084764,29.095930184
-117.80271052,34.084764,28.3167374754
-117.8026011,34.084764,27.0524279034
-117.80249168,34.084764,25.1089573376
-117.80238226,34.084764,22.4165907556
-117.80227284,34.084764,19.235196632
-117.80216342,34.084764,16.1222344234
-117.802054,34.084764,13.6844620494
-117.807525,34.0848547667,22.7959863104
-117.80741558,34.0848547667,21.8785569315
-117.80730616,34.0848547667,20.7536693182
-117.80719674,34.0848547667,19.9346331205
-117.80708732,34.0848547667,19.918496137
-117.8069779,34.0848547667,20.8433840192
-117.80686848,34.0848547667,22.3612845715
-117.80675906,34.0848547667,23.8253631319
-117.80664964,34.0848547667,24.6457980372
-117.80654022,34.0848547667,24.5714444524
-117.8064308,34.0848547667,23.7699805065
-117.80632138,34.0848547667,22.6737042894
-117.80621196,34.0848547667,21.707012259
-117.80610254,34.0848547667,21.0618127992
-117.80599312,34.0848547667,20.6146666731
-117.8058837,34.0848547667,20.0259657726
-117.80577428,34.0848547667,18.977773865
-117.80566486,34.0848547667,17.4441020175
-117.80555544,34.0848547667,15.8385957371
-117.80544602,34.0848547667,14.9053463728
-117.8053366,34.0848547667,15.2999717283
-117.80522718,34.0848547667,17.1420637251
-117.80511776,34.0848547667,19.8649627401
-117.80500834,34.0848547667,22.5593697948
-117.80489892,34.0848547667,24.5877142658
-117.8047895,34.0848547667,25.9742057773
