lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.807466,-117.802114,50.000000,34.084769,34.090205,61.000000,0,-15,31
lon,lat,depth,data
-117.807466,34.084769,0.500000,5.792519
-117.807466,34.084769,1.000000,4.845194
-117.807466,34.084769,1.500000,6.296881
-117.807466,34.084769,2.000000,6.816389
-117.807466,34.084769,2.500000,3.735375
-117.807466,34.084769,3.000000,5.508591
-117.807466,34.084769,3.500000,5.681519
-117.807466,34.084769,4.000000,5.227859
-117.807466,34.084769,4.500000,4.731367
-117.807466,34.084769,5.000000,5.060741
-117.807466,34.084769,5.500000,6.364281
-117.807466,34.084769,6.000000,3.047190
-117.807466,34.084769,6.500000,4.484850
-117.807466,34.084769,7.000000,5.343764
-117.807466,34.084769,7.500000,5.403788
-117.807466,34.084769,8.000000,3.883110
-117.807466,34.084769,8.500000,7.345180
-117.807466,34.084769,9.000000,4.467766
-117.807466,34.084769,9.500000,5.080869
-117.807466,34.084769,10.000000,6.200104
-117.807466,34.084769,10.500000,4.136592
-117.807466,34.084769,11.000000,3.571194
-117.807466,34.084769,11.500000,6.173856
-117.807466,34.084769,12.000000,4.712058
-117.807466,34.084769,12.500000,6.110858
-117.807466,34.084769,13.000000,5.691478
-117.807466,34.084769,13.500000,6.319284
-117.807466,34.084769,14.000000,6.476436
-117.807466,34.084769,14.500000,6.318615
-117.807466,34.084769,15.000000,6.448296
-117.807466,34.084860,0.000000,5.803387
-117.807466,34.084860,0.500000,6.474771
-117.807466,34.084860,1.000000,4.860763
-117.807466,34.084860,1.500000,4.543824
-117.807466,34.084860,2.000000,5.732803
-117.807466,34.084860,2.500000,2.845809
-117.807466,34.084860,3.000000,4.468292
-117.807466,34.084860,3.500000,3.769539
-117.807466,34.084860,4.000000,5.449952
-117.807466,34.084860,4.500000,5.217621
-117.807466,34.084860,5.000000,3.786753
-117.807466,34.084860,5.500000,4.718797
-117.807466,34.084860,6.000000,5.594929
-117.807466,34.084860,6.500000,3.912391
-117.807466,34.084860,7.000000,4.599838
-117.807466,34.084860,7.500000,3.631876
-117.807466,34.084860,8.000000,4.603774
-117.807466,34.084860,8.500000,5.570750
-117.807466,34.084860,9.000000,6.282541
-117.807466,34.084860,9.500000,4.712215
-117.807466,34.084860,10.000000,3.472232
-117.807466,34.084860,10.500000,5.878061
-117.807466,34.084860,11.000000,4.751224
