lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.809665,-117.805330,41.000000,34.087454,34.089286,21.000000,0,-15,31
lon,lat,depth,data
-117.809665,34.087454,0.500000,2.646191
-117.809665,34.087454,1.000000,3.466404
-117.809665,34.087454,1.500000,3.337887
-117.809665,34.087454,2.000000,3.244551
-117.809665,34.087454,2.500000,3.531261
-117.809665,34.087454,3.000000,2.617145
-117.809665,34.087454,3.500000,2.879912
-117.809665,34.087454,4.000000,2.595348
-117.809665,34.087454,4.500000,3.495770
-117.809665,34.087454,5.000000,2.488634
-117.809665,34.087454,5.500000,3.299019
-117.809665,34.087454,6.000000,3.132036
-117.809665,34.087454,6.500000,3.524839
-117.809665,34.087454,7.000000,3.923553
-117.809665,34.087454,7.500000,2.577337
-117.809665,34.087454,8.000000,4.083379
-117.809665,34.087454,8.500000,3.101052
-117.809665,34.087454,9.000000,3.761044
-117.809665,34.087454,9.500000,4.117326
-117.809665,34.087454,10.000000,2.392938
-117.809665,34.087454,10.500000,3.843378
-117.809665,34.087454,11.000000,2.958041
-117.809665,34.087454,11.500000,3.039884
-117.809665,34.087454,12.000000,3.194631
-117.809665,34.087454,12.500000,3.408397
-117.809665,34.087454,13.000000,2.628574
-117.809665,34.087454,13.500000,3.268927
-117.809665,34.087454,14.000000,3.088900
-117.809665,34.087454,14.500000,2.794167
-117.809665,34.087454,15.000000,3.256809
-117.809665,34.087546,0.000000,3.755385
-117.809665,34.087546,0.500000,3.756554
-117.809665,34.087546,1.000000,2.215142
-117.809665,34.087546,1.500000,4.234598
-117.809665,34.087546,2.000000,2.782193
-117.809665,34.087546,2.500000,3.983316
-117.809665,34.087546,3.000000,2.874736
-117.809665,34.087546,3.500000,2.766801
-117.809665,34.087546,4.000000,3.322189
-117.809665,34.087546,4.500000,2.280802
-117.809665,34.087546,5.000000,2.864364
-117.809665,34.087546,5.500000,2.908459
-117.809665,34.087546,6.000000,2.214905
-117.809665,34.087546,6.500000,2.616226
-117.809665,34.087546,7.000000,3.190868
-117.809665,34.087546,7.500000,3.803802
-117.809665,34.087546,8.000000,3.797379
-117.809665,34.087546,8.500000,2.522089
-117.809665,34.087546,9.000000,2.813149
-117.809665,34.087546,9.500000,3.117678
-117.809665,34.087546,10.000000,2.703361
-117.809665,34.087546,10.500000,2.565156
-117.809665,34.087546,11.000000,3.167930
-117.809665,34.087546,11.500000,3.403589
-117.809665,34.087546,12.000000,2.409863
-117.809665,34.087546,12.500000,3.310679
-117.809665,34.087546,13.000000,3.517957
-117.809665,34.087546,13.500000,2.538295
-117.809665,34.087546,14.000000,2.698496
-117.809665,34.087546,14.500000,2.948403
-117.809665,34.087546,15.000000,2.366445
-117.809665,34.087637,0.000000,2.988071
-117.809665,34.087637,0.500000,2.790895
-117.809665,34.087637,1.000000,1.987260
-117.809665,34.087637,1.500000,2.365962
-117.809665,34.087637,2.000000,2.359407
-117.809665,34.087637,2.500000,2.340807
-117.809665,34.087637,3.000000,3.379448
-117.809665,34.087637,3.500000,3.922228
-117.809665,34.087637,4.000000,2.952316
-117.809665,34.087637,4.500000,3.714345
-117.809665,34.087637,5.000000,2.519879
-117.809665,34.087637,5.500000,4.405008
-117.809665,34.087637,6.000000,3.308903
-117.809665,34.087637,6.500000,2.853195
-117.809665,34.087637,7.000000,3.141916
-117.809665,34.087637,7.500000,3.643031
-117.809665,34.087637,8.000000,2.395825
-117.809665,34.087637,8.500000,3.162865
-117.809665,34.087637,9.000000,3.424980
-117.809665,34.087637,9.500000,3.410315
-117.809665,34.087637,10.000000,3.126434
-117.809665,34.087637,10.500000,2.622545
-117.809665,34.087637,11.000000,4.092293
-117.809665,34.087637,11.500000,3.325685
-117.809665,34.087637,12.000000,2.995151
-117.809665,34.087637,12.500000,3.447529
-117.809665,34.087637,13.000000,2.581667
-117.809665,34.087637,13.500000,3.120431
-117.809665,34.087637,14.000000,4.019346
-117.809665,34.087637,14.500000,3.546207
-117.809665,34.087637,15.000000,2.858998
-117.809665,34.087729,0.000000,4.122538
-117.809665,34.087729,0.500000,2.520417
-117.809665,34.087729,1.000000,3.941320
-117.809665,34.087729,1.500000,3.633722
-117.809665,34.087729,2.000000,3.038041
-117.809665,34.087729,2.500000,3.583321
-117.809665,34.087729,3.000000,2.926605
-117.809665,34.087729,3.500000,2.619395
-117.809665,34.087729,4.000000,3.968434
-117.809665,34.087729,4.500000,2.760405
-117.809665,34.087729,5.000000,2.525086
-117.809665,34.087729,5.500000,2.346543
-117.809665,34.087729,6.000000,3.486715
-117.809665,34.087729,6.500000,3.223924
-117.809665,34.087729,7.000000,3.077797
-117.809665,34.087729,7.500000,3.301534
-117.809665,34.087729,8.000000,3.495490
-117.809665,34.087729,8.500000,2.649675
-117.809665,34.087729,9.000000,2.377440
-117.809665,34.087729,9.500000,2.835928
-117.809665,34.087729,10.000000,3.502030
-117.809665,34.087729,10.500000,2.085812
-117.809665,34.087729,11.000000,3.304377
-117.809665,34.087729,11.500000,3.272035
-117.809665,34.087729,12.000000,3.290793
-117.809665,34.087729,12.500000,2.611484
-117.809665,34.087729,13.000000,2.959268
-117.809665,34.087729,13.500000,1.959876
-117.809665,34.087729,14.000000,3.650925
-117.809665,34.087729,14.500000,3.433519
-117.809665,34.087729,15.000000,3.244352
-117.809665,34.087820,0.000000,3.063492
-117.809665,34.087820,0.500000,2.684991
-117.809665,34.087820,1.000000,3.359370
-117.809665,34.087820,1.500000,2.487123
-117.809665,34.087820,2.000000,2.860486
-117.809665,34.087820,2.500000,3.029623
-117.809665,34.087820,3.000000,2.006628
-117.809665,34.087820,3.500000,2.577125
-117.809665,34.087820,4.000000,3.162257
-117.809665,34.087820,4.500000,2.897081
-117.809665,34.087820,5.000000,2.276657
-117.809665,34.087820,5.500000,2.136384
-117.809665,34.087820,6.000000,4.308393
-117.809665,34.087820,6.500000,2.760936
-117.809665,34.087820,7.000000,3.683465
-117.809665,34.087820,7.500000,2.040940
-117.809665,34.087820,8.000000,2.819759
-117.809665,34.087820,8.500000,3.558183
-117.809665,34.087820,9.000000,3.466370
-117.809665,34.087820,9.500000,3.239454
-117.809665,34.087820,10.000000,2.369510
-117.809665,34.087820,10.500000,4.323099
-117.809665,34.087820,11.000000,2.583815
-117.809665,34.087820,11.500000,3.703039
-117.809665,34.087820,12.000000,3.364759
-117.809665,34.087820,12.500000,2.741444
-117.809665,34.087820,13.000000,2.960996
-117.809665,34.087820,13.500000,3.261837
-117.809665,34.087820,14.000000,3.009085
-117.809665,34.087820,14.500000,2.706886
-117.809665,34.087820,15.000000,2.979818
-117.809665,34.087912,0.000000,2.967660
-117.809665,34.087912,0.500000,2.949795
-117.809665,34.087912,1.000000,3.081033
-117.809665,34.087912,1.500000,3.129654
-117.809665,34.087912,2.000000,2.313509
-117.809665,34.087912,2.500000,2.607248
-117.809665,34.087912,3.000000,3.113756
-117.809665,34.087912,3.500000,2.830923
-117.809665,34.087912,4.000000,3.260803
-117.809665,34.087912,4.500000,2.912687
-117.809665,34.087912,5.000000,2.355437
-117.809665,34.087912,5.500000,3.177071
-117.809665,34.087912,6.000000,1.839126
-117.809665,34.087912,6.500000,2.697528
-117.809665,34.087912,7.000000,3.152355
-117.809665,34.087912,7.500000,3.633015
-117.809665,34.087912,8.000000,2.701408
-117.809665,34.087912,8.500000,1.811256
-117.809665,34.087912,9.000000,2.605130
-117.809665,34.087912,9.500000,3.971927
-117.809665,34.087912,10.000000,2.145999
-117.809665,34.087912,10.500000,2.818972
-117.809665,34.087912,11.000000,3.287610
-117.809665,34.087912,11.500000,3.242245
-117.809665,34.087912,12.000000,2.138130
-117.809665,34.087912,12.500000,3.378914
-117.809665,34.087912,13.000000,2.434175
-117.809665,34.087912,13.500000,3.846612
-117.809665,34.087912,14.000000,1.656634
-117.809665,34.087912,14.500000,3.132025
-117.809665,34.087912,15.000000,2.912910
-117.809665,34.088004,0.000000,3.577048
-117.809665,34.088004,0.500000,3.587795
-117.809665,34.088004,1.000000,2.803825
-117.809665,34.088004,1.500000,3.156078
-117.809665,34.088004,2.000000,3.740889
-117.809665,34.088004,2.500000,3.344228
-117.809665,34.088004,3.000000,2.425899
-117.809665,34.088004,3.500000,3.284679
-117.809665,34.088004,4.000000,3.404603
-117.809665,34.088004,4.500000,2.540178
-117.809665,34.088004,5.000000,3.634620
-117.809665,34.088004,5.500000,1.655331
-117.809665,34.088004,6.000000,3.089970
-117.809665,34.088004,6.500000,3.758704
-117.809665,34.088004,7.000000,3.644279
-117.809665,34.088004,7.500000,3.460664
-117.809665,34.088004,8.000000,2.999002
-117.809665,34.088004,8.500000,3.613042
-117.809665,34.088004,9.000000,3.450453
-117.809665,34.088004,9.500000,3.284328
-117.809665,34.088004,10.000000,3.182387
-117.809665,34.088004,10.500000,2.598229
-117.809665,34.088004,11.000000,2.322346
-117.809665,34.088004,11.500000,3.160299
-117.809665,34.088004,12.000000,2.668674
-117.809665,34.088004,12.500000,3.527821
-117.809665,34.088004,13.000000,2.839544
-117.809665,34.088004,13.500000,2.319508
-117.809665,34.088004,14.000000,3.420115
-117.809665,34.088004,14.500000,3.445348
-117.809665,34.088004,15.000000,2.068819
-117.809665,34.088095,0.000000,3.039038
-117.809665,34.088095,0.500000,2.324632
-117.809665,34.088095,1.000000,1.749376
