lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.809665,-117.805330,41.000000,34.087454,34.089286,21.000000,0,-15,31
lon,lat,depth,data
-117.809665,34.087454,0.500000,4.157393
-117.809665,34.087454,1.000000,4.686248
-117.809665,34.087454,1.500000,6.625925
-117.809665,34.087454,2.000000,4.353275
-117.809665,34.087454,2.500000,5.250022
-117.809665,34.087454,3.000000,5.717882
-117.809665,34.087454,3.500000,4.445424
-117.809665,34.087454,4.000000,7.288256
-117.809665,34.087454,4.500000,4.702476
-117.809665,34.087454,5.000000,5.391220
-117.809665,34.087454,5.500000,3.591756
-117.809665,34.087454,6.000000,5.429797
-117.809665,34.087454,6.500000,4.149849
-117.809665,34.087454,7.000000,4.366001
-117.809665,34.087454,7.500000,4.189767
-117.809665,34.087454,8.000000,4.881320
-117.809665,34.087454,8.500000,4.483470
-117.809665,34.087454,9.000000,5.065878
-117.809665,34.087454,9.500000,2.030554
-117.809665,34.087454,10.000000,5.305849
-117.809665,34.087454,10.500000,5.719111
-117.809665,34.087454,11.000000,3.534898
-117.809665,34.087454,11.500000,4.480446
-117.809665,34.087454,12.000000,5.640638
-117.809665,34.087454,12.500000,5.171264
-117.809665,34.087454,13.000000,4.783134
-117.809665,34.087454,13.500000,3.431083
-117.809665,34.087454,14.000000,4.395675
-117.809665,34.087454,14.500000,5.144426
-117.809665,34.087454,15.000000,4.070087
-117.809665,34.087546,0.000000,5.330428
-117.809665,34.087546,0.500000,5.233551
-117.809665,34.087546,1.000000,5.187046
-117.809665,34.087546,1.500000,3.892197
-117.809665,34.087546,2.000000,4.035204
-117.809665,34.087546,2.500000,5.875866
-117.809665,34.087546,3.000000,5.742205
-117.809665,34.087546,3.500000,3.347790
-117.809665,34.087546,4.000000,5.300430
-117.809665,34.087546,4.500000,4.339028
-117.809665,34.087546,5.000000,4.681925
-117.809665,34.087546,5.500000,6.438036
-117.809665,34.087546,6.000000,5.815330
-117.809665,34.087546,6.500000,5.816128
-117.809665,34.087546,7.000000,4.663187
-117.809665,34.087546,7.500000,4.092757
-117.809665,34.087546,8.000000,5.794672
-117.809665,34.087546,8.500000,6.097382
-117.809665,34.087546,9.000000,2.872488
-117.809665,34.087546,9.500000,5.609197
-117.809665,34.087546,10.000000,5.600489
-117.809665,34.087546,10.500000,5.408580
-117.809665,34.087546,11.000000,4.055890
-117.809665,34.087546,11.500000,5.961479
-117.809665,34.087546,12.000000,5.184603
-117.809665,34.087546,12.500000,3.492803
-117.809665,34.087546,13.000000,5.064265
-117.809665,34.087546,13.500000,5.611710
-117.809665,34.087546,14.000000,5.404547
-117.809665,34.087546,14.500000,6.032694
-117.809665,34.087546,15.000000,4.176251
-117.809665,34.087637,0.000000,6.622998
-117.809665,34.087637,0.500000,5.015102
-117.809665,34.087637,1.000000,4.990122
-117.809665,34.087637,1.500000,5.543250
-117.809665,34.087637,2.000000,5.990170
-117.809665,34.087637,2.500000,3.207228
-117.809665,34.087637,3.000000,4.732655
-117.809665,34.087637,3.500000,5.756436
-117.809665,34.087637,4.000000,3.824801
-117.809665,34.087637,4.500000,4.955487
-117.809665,34.087637,5.000000,4.384525
-117.809665,34.087637,5.500000,4.311465
-117.809665,34.087637,6.000000,5.736206
-117.809665,34.087637,6.500000,4.779488
-117.809665,34.087637,7.000000,6.030294
-117.809665,34.087637,7.500000,3.754400
-117.809665,34.087637,8.000000,5.432431
-117.809665,34.087637,8.500000,4.688223
-117.809665,34.087637,9.000000,6.101951
-117.809665,34.087637,9.500000,5.502169
-117.809665,34.087637,10.000000,4.451886
-117.809665,34.087637,10.500000,4.427939
-117.809665,34.087637,11.000000,4.436023
-117.809665,34.087637,11.500000,5.678097
-117.809665,34.087637,12.000000,6.681369
-117.809665,34.087637,12.500000,4.374843
-117.809665,34.087637,13.000000,5.982699
-117.809665,34.087637,13.500000,4.643561
-117.809665,34.087637,14.000000,5.083822
-117.809665,34.087637,14.500000,4.664853
-117.809665,34.087637,15.000000,4.710225
-117.809665,34.087729,0.000000,5.639168
-117.809665,34.087729,0.500000,5.266663
-117.809665,34.087729,1.000000,4.866848
-117.809665,34.087729,1.500000,4.519917
-117.809665,34.087729,2.000000,6.896445
-117.809665,34.087729,2.500000,4.943069
