lon_min,lon_max,lon_res,lat_min,lat_max,lat_res,depth_min,depth_max,depth_res
-117.809665,-117.805330,41.000000,34.087454,34.089286,21.000000,0,-15,31
lon,lat,depth,data
-117.809665,34.087454,0.500000,5.209777
-117.809665,34.087454,1.000000,5.084000
-117.809665,34.087454,1.500000,4.434763
-117.809665,34.087454,2.000000,4.934811
-117.809665,34.087454,2.500000,5.670955
-117.809665,34.087454,3.000000,4.926385
-117.809665,34.087454,3.500000,6.104287
-117.809665,34.087454,4.000000,5.510302
-117.809665,34.087454,4.500000,4.270250
-117.809665,34.087454,5.000000,6.956254
-117.809665,34.087454,5.500000,3.086802
-117.809665,34.087454,6.000000,4.611652
-117.809665,34.087454,6.500000,5.571437
-117.809665,34.087454,7.000000,6.964397
-117.809665,34.087454,7.500000,4.729308
-117.809665,34.087454,8.000000,6.465341
-117.809665,34.087454,8.500000,3.566973
-117.809665,34.087454,9.000000,4.523978
-117.809665,34.087454,9.500000,3.394268
-117.809665,34.087454,10.000000,5.178923
-117.809665,34.087454,10.500000,5.480324
-117.809665,34.087454,11.000000,4.117008
-117.809665,34.087454,11.500000,4.677918
-117.809665,34.087454,12.000000,4.556741
-117.809665,34.087454,12.500000,6.415689
-117.809665,34.087454,13.000000,5.902688
-117.809665,34.087454,13.500000,4.987746
-117.809665,34.087454,14.000000,4.802828
-117.809665,34.087454,14.500000,6.142493
-117.809665,34.087454,15.000000,3.171026
-117.809665,34.087546,0.000000,6.264168
-117.809665,34.087546,0.500000,3.640162
-117.809665,34.087546,1.000000,3.408443
-117.809665,34.087546,1.500000,4.371502
-117.809665,34.087546,2.000000,5.979673
-117.809665,34.087546,2.500000,4.832573
-117.809665,34.087546,3.000000,5.903389
-117.809665,34.087546,3.500000,5.711478
-117.809665,34.087546,4.000000,7.437664
-117.809665,34.087546,4.500000,3.553062
-117.809665,34.087546,5.000000,5.769345
-117.809665,34.087546,5.500000,5.231100
-117.809665,34.087546,6.000000,5.872660
-117.809665,34.087546,6.500000,3.223974
-117.809665,34.087546,7.000000,4.223409
-117.809665,34.087546,7.500000,4.319451
-117.809665,34.087546,8.000000,5.905553
-117.809665,34.087546,8.500000,5.391352
-117.809665,34.087546,9.000000,4.143327
-117.809665,34.087546,9.500000,3.905444
-117.809665,34.087546,10.000000,3.584119
-117.809665,34.087546,10.500000,5.750585
-117.809665,34.087546,11.000000,4.915767
-117.809665,34.087546,11.500000,5.201824
-117.809665,34.087546,12.000000,5.008649
-117.809665,34.087546,12.500000,4.670177
-117.809665,34.087546,13.000000,5.106632
-117.809665,34.087546,13.500000,4.097422
-117.809665,34.087546,14.000000,8.060353
-117.809665,34.087546,14.500000,6.539723
-117.809665,34.087546,15.000000,3.265892
-117.809665,34.087637,0.000000,5.685938
-117.809665,34.087637,0.500000,7.034502
-117.809665,34.087637,1.000000,5.907047
-117.809665,34.087637,1.500000,4.151157
-117.809665,34.087637,2.000000,4.882404
-117.809665,34.087637,2.500000,4.860626
-117.809665,34.087637,3.000000,5.967717
-117.809665,34.087637,3.500000,4.037123
-117.809665,34.087637,4.000000,4.720228
-117.809665,34.087637,4.500000,6.687821
-117.809665,34.087637,5.000000,4.456932
-117.809665,34.087637,5.500000,5.524124
-117.809665,34.087637,6.000000,4.059204
-117.809665,34.087637,6.500000,5.006362
-117.809665,34.087637,7.000000,5.844192
-117.809665,34.087637,7.500000,4.113203
-117.809665,34.087637,8.000000,4.211881
-117.809665,34.087637,8.500000,5.974662
-117.809665,34.087637,9.000000,4.999115
-117.809665,34.087637,9.500000,5.323152
-117.809665,34.087637,10.000000,4.373838
-117.809665,34.087637,10.500000,4.150299
-117.809665,34.087637,11.000000,5.242775
-117.809665,34.087637,11.500000,4.683196
-117.809665,34.087637,12.000000,3.998313
-117.809665,34.087637,12.500000,4.819188
-117.809665,34.087637,13.000000,4.476384
-117.809665,34.087637,13.500000,2.548984
-117.809665,34.087637,14.000000,4.069102
-117.809665,34.087637,14.500000,4.810581
-117.809665,34.087637,15.000000,5.070790
-117.809665,34.087729,0.000000,4.750801
-117.809665,34.087729,0.500000,7.768490
-117.809665,34.087729,1.000000,4.024343
-117.809665,34.087729,1.500000,4.081814
-117.809665,34.087729,2.000000,4.119876
-117.809665,34.087729,2.500000,4.500127
-117.809665,34.087729,3.000000,5.114397
-117.809665,34.087729,3.500000,4.082420
-117.809665,34.087729,4.000000,5.600328
-117.809665,34.087729,4.500000,3.587078
-117.809665,34.087729,5.000000,4.853925
-117.809665,34.087729,5.500000,5.653815
-117.809665,34.087729,6.000000,5.121548
-117.809665,34.087729,6.500000,5.441113
-117.809665,34.087729,7.000000,5.248985
-117.809665,34.087729,7.500000,5.618601
-117.809665,34.087729,8.000000,3.980513
-117.809665,34.087729,8.500000,5.693865
-117.809665,34.087729,9.000000,5.239209
-117.809665,34.087729,9.500000,2.862439
-117.809665,34.087729,10.000000,2.667739
-117.809665,34.087729,10.500000,5.442733
-117.809665,34.087729,11.000000,5.790922
-117.809665,34.087729,11.500000,3.868509
-117.809665,34.087729,12.000000,5.264758
-117.809665,34.087729,12.500000,5.358268
-117.809665,34.087729,13.000000,5.177440
-117.809665,34.087729,13.500000,5.160482
-117.809665,34.087729,14.000000,3.642942
-117.809665,34.087729,14.500000,5.482676
-117.809665,34.087729,15.000000,4.903006
-117.809665,34.087820,0.000000,5.656729
-117.809665,34.087820,0.500000,4.149079
